Bolge,Set,N,AUC,F1,Rec,Prec
MED,M10_base,26,0.742701343358413,0.32625594616544845,0.612636165577342,0.22232764073371283
MED,M11_Faz1,32,0.7545286208190745,0.3062636562272396,0.7328976034858388,0.1935780872367361
MED,M11_Faz2v2,36,0.7561945578625278,0.29625926851620427,0.7747276688453159,0.18314791924186238
CON,M10_base,26,0.6750951672826673,0.24445411048281862,0.6504629629629629,0.15050883770755222
CON,M11_Faz1,32,0.7162243373180873,0.2711864406779661,0.6481481481481481,0.17146356399265156
CON,M11_Faz2v2,36,0.7204241501116502,0.27890679747722497,0.46064814814814814,0.2
BLK,M10_base,26,0.7115865317281989,0.2830051057622174,0.6830985915492958,0.17847286108555657
BLK,M11_Faz1,32,0.7854883298928895,0.357207615593835,0.6936619718309859,0.24053724053724054
BLK,M11_Faz2v2,36,0.7593820597602041,0.3079416531604538,0.6690140845070423,0.2
GLOBAL,M10_base,26,0.7231574196121362,0.30670998095664836,0.4546662238458984,0.23140635564570655
GLOBAL,M11_Faz1,32,0.7765330089941133,0.3191547375596455,0.7774825639322485,0.2007890899734111
GLOBAL,M11_Faz2v2,36,0.7784880108845226,0.33256625343330115,0.7439388907339755,0.21414913957934992
