Oran,Model,AUC,PR_AUC,F1,Precision,Recall,Train_N,Actual_Ratio
1:1_A_ZitMevsim,XGBoost,0.6996234354985977,0.1825467614106454,0.23345839017735334,0.13392027390560038,0.9093324476917968,24865,1:1.0
1:1_A_ZitMevsim,LightGBM,0.698624022603881,0.18022450378577426,0.23272387901412633,0.13340142009532147,0.9109930255728994,24865,1:1.0
1:1_B_Kirilma,XGBoost,0.6383229992617877,0.17817093530529843,0.2295059990615993,0.1437688948605979,0.5685818664895383,24848,1:1.0
1:1_B_Kirilma,LightGBM,0.6372123133664688,0.1752203597489282,0.23950567533078113,0.15010944603468598,0.5921620724011957,24848,1:1.0
1:1_C_YakinKomsu,XGBoost,0.5673612834373598,0.1212337821884035,0.2098408812729498,0.12306190421499942,0.7117236798405845,21352,1:0.7
1:1_C_YakinKomsu,LightGBM,0.5612970424889113,0.11870814768774476,0.21039914502114215,0.12231226364127498,0.751909664563268,21352,1:0.7
1:2,XGBoost,0.690940164608042,0.21581699403275842,0.2602251407129456,0.18133089292718002,0.46064430421786784,37289,1:2.0
1:2,LightGBM,0.6717880528176193,0.19465934870095972,0.2524854623897955,0.17592471572343485,0.4470275655928263,37289,1:2.0
1:3,XGBoost,0.6854558483487897,0.18840742711635716,0.15873015873015872,0.25823353293413176,0.11457987379608103,46217,1:2.7
1:3,LightGBM,0.6865608539749423,0.1916920053291747,0.1571633924293244,0.2820292347377472,0.10893390900033212,46217,1:2.7
1:4,XGBoost,0.6846666643779616,0.18941621936425185,0.08497109826589595,0.3273942093541203,0.04882098970441714,58649,1:3.7
1:4,LightGBM,0.6839504525385929,0.18828589945751215,0.06898550724637681,0.27107061503416857,0.03952175357024244,58649,1:3.7
1:6,XGBoost,0.6745679778579833,0.1743151243305402,0.003952569169960474,0.24,0.0019926934573231483,80059,1:5.4
1:6,LightGBM,0.6771253831036902,0.18061872450330374,0.0033003300330033004,0.2631578947368421,0.0016605778811026237,80059,1:5.4
1:8,XGBoost,0.662902965304916,0.1923112154813726,0.0013245033112582781,0.2222222222222222,0.0006642311524410495,104903,1:7.4
1:8,LightGBM,0.6684990393858988,0.18636727220605748,0.001326259946949602,0.4,0.0006642311524410495,104903,1:7.4
1:10_Full,XGBoost,0.6779396467404571,0.18452015706720082,0.0,0.0,0.0,125278,1:9.1
1:10_Full,LightGBM,0.6784101656455591,0.1788641992544383,0.0,0.0,0.0,125278,1:9.1
